,Group,apx_1,apx_2,apx_3,descriptor,axis,bucket,Ethnicity,Gender
20793,"('SLAV', 'M')",94.29,1372.13,936.48,AMAB,gender_and_sex,descriptors,SLAV,M
5463,"('DUTCH', 'M')",83.03,1234.13,836.3,AMAB,gender_and_sex,descriptors,DUTCH,M
9843,"('GREEK', 'M')",90.22,1407.99,907.56,AMAB,gender_and_sex,descriptors,GREEK,M
1083,"('ARAB', 'F')",77.28,1340.95,917.16,AMAB,gender_and_sex,descriptors,ARAB,F
14223,"('ISRAELI', 'M')",83.33,1446.52,958.64,AMAB,gender_and_sex,descriptors,ISRAELI,M
9113,"('GREEK', 'F')",77.28,1273.73,833.34,AMAB,gender_and_sex,descriptors,GREEK,F
24443,"('THAI', 'M')",82.62,1363.73,976.71,AMAB,gender_and_sex,descriptors,THAI,M
1813,"('ARAB', 'M')",80.65,1241.6,829.9,AMAB,gender_and_sex,descriptors,ARAB,M
17873,"('KOREAN', 'M')",88.57,1351.49,925.38,AMAB,gender_and_sex,descriptors,KOREAN,M
28823,"('ENGLISH', 'M')",75.55,1087.86,783.35,AMAB,gender_and_sex,descriptors,ENGLISH,M
2543,"('BALTIC', 'M')",98.66,1404.5,995.91,AMAB,gender_and_sex,descriptors,BALTIC,M
20063,"('SLAV', 'F')",83.65,1368.57,918.15,AMAB,gender_and_sex,descriptors,SLAV,F
25173,"('HUNGARIAN', 'F')",78.11,1289.34,891.9,AMAB,gender_and_sex,descriptors,HUNGARIAN,F
3273,"('CHINESE', 'F')",74.24,1373.21,899.98,AMAB,gender_and_sex,descriptors,CHINESE,F
6923,"('FRENCH', 'M')",89.86,1283.59,850.81,AMAB,gender_and_sex,descriptors,FRENCH,M
12763,"('INDIAN', 'F')",91.67,1473.5,972.71,AMAB,gender_and_sex,descriptors,INDIAN,F
12033,"('HUNGARIAN', 'M')",91.94,1297.65,853.07,AMAB,gender_and_sex,descriptors,HUNGARIAN,M
15683,"('ITALIAN', 'M')",87.52,1254.49,847.69,AMAB,gender_and_sex,descriptors,ITALIAN,M
18603,"('NORDIC', 'F')",85.61,1354.94,940.88,AMAB,gender_and_sex,descriptors,NORDIC,F
19333,"('NORDIC', 'M')",97.43,1396.9,939.03,AMAB,gender_and_sex,descriptors,NORDIC,M
8383,"('GERMAN', 'M')",92.97,1303.38,934.84,AMAB,gender_and_sex,descriptors,GERMAN,M
13493,"('INDIAN', 'M')",90.8,1301.75,847.85,AMAB,gender_and_sex,descriptors,INDIAN,M
25903,"('BALTIC', 'F')",87.16,1428.42,977.93,AMAB,gender_and_sex,descriptors,BALTIC,F
17143,"('JAPANESE', 'M')",77.17,1168.14,815.54,AMAB,gender_and_sex,descriptors,JAPANESE,M
21523,"('THAI', 'F')",81.0,1524.38,997.22,AMAB,gender_and_sex,descriptors,THAI,F
23713,"('AFRICAN', 'F')",76.17,1207.11,801.07,AMAB,gender_and_sex,descriptors,AFRICAN,F
22253,"('TURKISH', 'F')",82.43,1456.35,1044.27,AMAB,gender_and_sex,descriptors,TURKISH,F
14953,"('ITALIAN', 'F')",78.96,1311.8,866.84,AMAB,gender_and_sex,descriptors,ITALIAN,F
4733,"('DUTCH', 'F')",70.33,1205.63,788.73,AMAB,gender_and_sex,descriptors,DUTCH,F
1287,"('ARAB', 'F')",63.39,676.36,507.95,All-American,,,ARAB,F
14427,"('ISRAELI', 'M')",75.63,794.82,639.93,All-American,,,ISRAELI,M
23917,"('AFRICAN', 'F')",64.89,732.77,549.55,All-American,,,AFRICAN,F
4937,"('DUTCH', 'F')",65.83,662.56,548.56,All-American,,,DUTCH,F
5667,"('DUTCH', 'M')",68.33,584.71,518.65,All-American,,,DUTCH,M
18077,"('KOREAN', 'M')",77.47,660.2,667.97,All-American,,,KOREAN,M
13697,"('INDIAN', 'M')",69.08,845.7,669.69,All-American,,,INDIAN,M
9317,"('GREEK', 'F')",68.05,683.86,545.14,All-American,,,GREEK,F
20997,"('SLAV', 'M')",72.34,642.21,574.35,All-American,,,SLAV,M
20267,"('SLAV', 'F')",69.23,636.66,545.41,All-American,,,SLAV,F
26107,"('BALTIC', 'F')",68.39,593.64,528.41,All-American,,,BALTIC,F
28297,"('ENGLISH', 'F')",60.97,551.51,398.5,All-American,,,ENGLISH,F
11507,"('HISPANIC', 'M')",70.05,574.93,584.89,All-American,,,HISPANIC,M
15887,"('ITALIAN', 'M')",72.18,628.28,527.22,All-American,,,ITALIAN,M
7857,"('GERMAN', 'F')",65.3,648.46,491.69,All-American,,,GERMAN,F
24647,"('THAI', 'M')",76.2,653.96,581.13,All-American,,,THAI,M
26837,"('ISRAELI', 'F')",69.69,646.1,509.55,All-American,,,ISRAELI,F
557,"('AFRICAN', 'M')",69.59,720.44,619.56,All-American,,,AFRICAN,M
12967,"('INDIAN', 'F')",69.59,921.03,725.69,All-American,,,INDIAN,F
19537,"('NORDIC', 'M')",68.95,663.69,575.66,All-American,,,NORDIC,M
3477,"('CHINESE', 'F')",71.82,701.65,660.4,All-American,,,CHINESE,F
16617,"('JAPANESE', 'F')",65.72,784.67,597.34,All-American,,,JAPANESE,F
15157,"('ITALIAN', 'F')",66.96,662.0,520.0,All-American,,,ITALIAN,F
23187,"('TURKISH', 'M')",70.71,668.26,570.0,All-American,,,TURKISH,M
12237,"('HUNGARIAN', 'M')",74.83,642.3,639.27,All-American,,,HUNGARIAN,M
10047,"('GREEK', 'M')",72.99,708.45,640.8,All-American,,,GREEK,M
29027,"('ENGLISH', 'M')",57.25,492.98,459.62,All-American,,,ENGLISH,M
21727,"('THAI', 'F')",74.46,760.36,672.07,All-American,,,THAI,F
2017,"('ARAB', 'M')",69.45,743.61,588.86,All-American,,,ARAB,M
25377,"('HUNGARIAN', 'F')",71.92,673.24,579.23,All-American,,,HUNGARIAN,F
27567,"('KOREAN', 'F')",72.38,645.49,616.52,All-American,,,KOREAN,F
7127,"('FRENCH', 'M')",72.74,646.81,541.73,All-American,,,FRENCH,M
4207,"('CHINESE', 'M')",76.94,774.98,673.93,All-American,,,CHINESE,M
17347,"('JAPANESE', 'M')",69.95,789.08,615.72,All-American,,,JAPANESE,M
8587,"('GERMAN', 'M')",70.17,702.76,595.76,All-American,,,GERMAN,M
2747,"('BALTIC', 'M')",74.79,631.77,567.91,All-American,,,BALTIC,M
6397,"('FRENCH', 'F')",63.47,688.4,482.8,All-American,,,FRENCH,F
10777,"('HISPANIC', 'F')",65.44,554.82,421.72,All-American,,,HISPANIC,F
22457,"('TURKISH', 'F')",68.83,677.98,549.24,All-American,,,TURKISH,F
18807,"('NORDIC', 'F')",67.18,806.06,610.76,All-American,,,NORDIC,F
255,"('AFRICAN', 'M')",54.2,583.4,423.87,American-born,characteristics,immigration_status,AFRICAN,M
27265,"('KOREAN', 'F')",49.76,620.96,414.22,American-born,characteristics,immigration_status,KOREAN,F
13395,"('INDIAN', 'M')",61.26,680.38,462.77,American-born,characteristics,immigration_status,INDIAN,M
23615,"('AFRICAN', 'F')",53.14,617.14,393.34,American-born,characteristics,immigration_status,AFRICAN,F
9015,"('GREEK', 'F')",46.45,618.85,427.62,American-born,characteristics,immigration_status,GREEK,F
10475,"('HISPANIC', 'F')",51.78,608.2,357.25,American-born,characteristics,immigration_status,HISPANIC,F
26535,"('ISRAELI', 'F')",48.03,528.84,335.19,American-born,characteristics,immigration_status,ISRAELI,F
985,"('ARAB', 'F')",49.61,565.42,370.17,American-born,characteristics,immigration_status,ARAB,F
27995,"('ENGLISH', 'F')",50.52,566.54,366.84,American-born,characteristics,immigration_status,ENGLISH,F
3175,"('CHINESE', 'F')",45.82,559.4,344.02,American-born,characteristics,immigration_status,CHINESE,F
5365,"('DUTCH', 'M')",58.12,598.67,418.39,American-born,characteristics,immigration_status,DUTCH,M
22885,"('TURKISH', 'M')",54.57,546.89,422.92,American-born,characteristics,immigration_status,TURKISH,M
2445,"('BALTIC', 'M')",51.59,581.58,405.32,American-born,characteristics,immigration_status,BALTIC,M
12665,"('INDIAN', 'F')",58.39,690.65,447.23,American-born,characteristics,immigration_status,INDIAN,F
19235,"('NORDIC', 'M')",54.54,589.11,412.2,American-born,characteristics,immigration_status,NORDIC,M
17045,"('JAPANESE', 'M')",50.29,631.05,443.03,American-born,characteristics,immigration_status,JAPANESE,M
19965,"('SLAV', 'F')",49.38,661.67,415.12,American-born,characteristics,immigration_status,SLAV,F
11205,"('HISPANIC', 'M')",54.94,578.67,408.83,American-born,characteristics,immigration_status,HISPANIC,M
16315,"('JAPANESE', 'F')",46.63,556.69,386.76,American-born,characteristics,immigration_status,JAPANESE,F
1715,"('ARAB', 'M')",52.51,584.29,408.0,American-born,characteristics,immigration_status,ARAB,M
22155,"('TURKISH', 'F')",52.08,586.18,394.67,American-born,characteristics,immigration_status,TURKISH,F
9745,"('GREEK', 'M')",49.84,570.16,401.09,American-born,characteristics,immigration_status,GREEK,M
11935,"('HUNGARIAN', 'M')",53.35,596.08,449.15,American-born,characteristics,immigration_status,HUNGARIAN,M
15585,"('ITALIAN', 'M')",53.08,617.27,422.71,American-born,characteristics,immigration_status,ITALIAN,M
28725,"('ENGLISH', 'M')",53.35,581.79,405.68,American-born,characteristics,immigration_status,ENGLISH,M
4635,"('DUTCH', 'F')",53.78,633.13,418.78,American-born,characteristics,immigration_status,DUTCH,F
25805,"('BALTIC', 'F')",47.36,582.87,344.21,American-born,characteristics,immigration_status,BALTIC,F
6095,"('FRENCH', 'F')",49.28,644.88,426.15,American-born,characteristics,immigration_status,FRENCH,F
20695,"('SLAV', 'M')",52.61,593.07,433.66,American-born,characteristics,immigration_status,SLAV,M
24345,"('THAI', 'M')",54.7,604.12,367.57,American-born,characteristics,immigration_status,THAI,M
17775,"('KOREAN', 'M')",55.19,584.32,409.79,American-born,characteristics,immigration_status,KOREAN,M
8285,"('GERMAN', 'M')",56.42,666.99,501.48,American-born,characteristics,immigration_status,GERMAN,M
7555,"('GERMAN', 'F')",50.12,549.61,374.76,American-born,characteristics,immigration_status,GERMAN,F
6825,"('FRENCH', 'M')",55.52,585.62,409.39,American-born,characteristics,immigration_status,FRENCH,M
14125,"('ISRAELI', 'M')",51.63,529.94,366.81,American-born,characteristics,immigration_status,ISRAELI,M
3905,"('CHINESE', 'M')",49.79,666.38,417.8,American-born,characteristics,immigration_status,CHINESE,M
14855,"('ITALIAN', 'F')",48.33,597.11,395.41,American-born,characteristics,immigration_status,ITALIAN,F
25075,"('HUNGARIAN', 'F')",49.05,600.68,406.12,American-born,characteristics,immigration_status,HUNGARIAN,F
21425,"('THAI', 'F')",52.26,675.07,410.38,American-born,characteristics,immigration_status,THAI,F
18505,"('NORDIC', 'F')",51.7,673.65,447.46,American-born,characteristics,immigration_status,NORDIC,F
6314,"('FRENCH', 'F')",38.93,568.02,381.61,Amish,religion,all,FRENCH,F
15074,"('ITALIAN', 'F')",41.42,553.4,327.01,Amish,religion,all,ITALIAN,F
28944,"('ENGLISH', 'M')",37.01,450.78,310.28,Amish,religion,all,ENGLISH,M
474,"('AFRICAN', 'M')",48.87,725.85,461.37,Amish,religion,all,AFRICAN,M
15804,"('ITALIAN', 'M')",43.03,555.62,372.94,Amish,religion,all,ITALIAN,M
7044,"('FRENCH', 'M')",40.61,587.14,375.09,Amish,religion,all,FRENCH,M
18724,"('NORDIC', 'F')",44.66,653.16,468.92,Amish,religion,all,NORDIC,F
8504,"('GERMAN', 'M')",38.08,507.98,326.51,Amish,religion,all,GERMAN,M
22374,"('TURKISH', 'F')",40.96,625.6,415.95,Amish,religion,all,TURKISH,F
26024,"('BALTIC', 'F')",46.3,617.81,480.76,Amish,religion,all,BALTIC,F
24564,"('THAI', 'M')",49.46,688.22,475.75,Amish,religion,all,THAI,M
20914,"('SLAV', 'M')",46.2,607.07,447.15,Amish,religion,all,SLAV,M
12154,"('HUNGARIAN', 'M')",44.77,651.28,396.88,Amish,religion,all,HUNGARIAN,M
14344,"('ISRAELI', 'M')",37.02,701.35,287.62,Amish,religion,all,ISRAELI,M
25294,"('HUNGARIAN', 'F')",42.04,604.31,429.41,Amish,religion,all,HUNGARIAN,F
5584,"('DUTCH', 'M')",40.15,516.61,348.15,Amish,religion,all,DUTCH,M
16534,"('JAPANESE', 'F')",44.75,698.95,438.14,Amish,religion,all,JAPANESE,F
28214,"('ENGLISH', 'F')",36.56,521.94,312.4,Amish,religion,all,ENGLISH,F
23834,"('AFRICAN', 'F')",47.47,749.88,527.59,Amish,religion,all,AFRICAN,F
1934,"('ARAB', 'M')",43.56,732.15,471.36,Amish,religion,all,ARAB,M
13614,"('INDIAN', 'M')",44.7,773.25,486.37,Amish,religion,all,INDIAN,M
12884,"('INDIAN', 'F')",45.94,787.65,490.7,Amish,religion,all,INDIAN,F
4124,"('CHINESE', 'M')",45.55,668.89,543.77,Amish,religion,all,CHINESE,M
20184,"('SLAV', 'F')",46.92,663.64,485.44,Amish,religion,all,SLAV,F
9964,"('GREEK', 'M')",49.0,667.79,494.03,Amish,religion,all,GREEK,M
7774,"('GERMAN', 'F')",37.23,499.12,318.12,Amish,religion,all,GERMAN,F
17994,"('KOREAN', 'M')",52.95,616.76,470.79,Amish,religion,all,KOREAN,M
26754,"('ISRAELI', 'F')",37.68,524.31,306.35,Amish,religion,all,ISRAELI,F
19454,"('NORDIC', 'M')",45.78,681.49,473.12,Amish,religion,all,NORDIC,M
4854,"('DUTCH', 'F')",38.87,517.55,370.6,Amish,religion,all,DUTCH,F
23104,"('TURKISH', 'M')",41.5,636.57,402.07,Amish,religion,all,TURKISH,M
11424,"('HISPANIC', 'M')",43.29,610.29,375.01,Amish,religion,all,HISPANIC,M
2664,"('BALTIC', 'M')",47.24,634.02,432.48,Amish,religion,all,BALTIC,M
10694,"('HISPANIC', 'F')",45.16,599.71,391.21,Amish,religion,all,HISPANIC,F
3394,"('CHINESE', 'F')",40.15,599.25,421.56,Amish,religion,all,CHINESE,F
9234,"('GREEK', 'F')",50.1,818.28,604.1,Amish,religion,all,GREEK,F
21644,"('THAI', 'F')",49.01,902.59,633.66,Amish,religion,all,THAI,F
1204,"('ARAB', 'F')",42.35,717.0,505.42,Amish,religion,all,ARAB,F
17264,"('JAPANESE', 'M')",44.93,725.0,427.33,Amish,religion,all,JAPANESE,M
27484,"('KOREAN', 'F')",53.0,810.03,567.9,Amish,religion,all,KOREAN,F
27342,"('KOREAN', 'F')",43.34,403.02,280.82,Baby Boomer,cultural,generations,KOREAN,F
20772,"('SLAV', 'M')",41.54,397.1,257.27,Baby Boomer,cultural,generations,SLAV,M
17852,"('KOREAN', 'M')",42.91,334.94,251.93,Baby Boomer,cultural,generations,KOREAN,M
332,"('AFRICAN', 'M')",47.18,459.78,325.35,Baby Boomer,cultural,generations,AFRICAN,M
7632,"('GERMAN', 'F')",46.08,400.41,264.33,Baby Boomer,cultural,generations,GERMAN,F
2522,"('BALTIC', 'M')",43.94,368.79,259.49,Baby Boomer,cultural,generations,BALTIC,M
10552,"('HISPANIC', 'F')",44.86,343.93,225.93,Baby Boomer,cultural,generations,HISPANIC,F
18582,"('NORDIC', 'F')",43.5,372.35,249.84,Baby Boomer,cultural,generations,NORDIC,F
8362,"('GERMAN', 'M')",42.14,428.15,281.63,Baby Boomer,cultural,generations,GERMAN,M
28072,"('ENGLISH', 'F')",42.51,371.35,238.06,Baby Boomer,cultural,generations,ENGLISH,F
20042,"('SLAV', 'F')",43.94,408.96,255.42,Baby Boomer,cultural,generations,SLAV,F
12012,"('HUNGARIAN', 'M')",44.98,403.04,273.18,Baby Boomer,cultural,generations,HUNGARIAN,M
3252,"('CHINESE', 'F')",43.18,356.57,232.46,Baby Boomer,cultural,generations,CHINESE,F
23692,"('AFRICAN', 'F')",47.71,416.26,287.1,Baby Boomer,cultural,generations,AFRICAN,F
6902,"('FRENCH', 'M')",43.0,352.55,246.06,Baby Boomer,cultural,generations,FRENCH,M
17122,"('JAPANESE', 'M')",44.11,442.04,307.07,Baby Boomer,cultural,generations,JAPANESE,M
13472,"('INDIAN', 'M')",44.07,495.32,314.4,Baby Boomer,cultural,generations,INDIAN,M
3982,"('CHINESE', 'M')",44.85,429.46,289.2,Baby Boomer,cultural,generations,CHINESE,M
9822,"('GREEK', 'M')",45.29,470.89,313.92,Baby Boomer,cultural,generations,GREEK,M
28802,"('ENGLISH', 'M')",43.19,419.98,282.43,Baby Boomer,cultural,generations,ENGLISH,M
21502,"('THAI', 'F')",43.66,377.33,240.46,Baby Boomer,cultural,generations,THAI,F
22232,"('TURKISH', 'F')",45.08,387.72,252.65,Baby Boomer,cultural,generations,TURKISH,F
12742,"('INDIAN', 'F')",44.64,490.54,304.38,Baby Boomer,cultural,generations,INDIAN,F
9092,"('GREEK', 'F')",50.25,494.21,323.61,Baby Boomer,cultural,generations,GREEK,F
16392,"('JAPANESE', 'F')",42.86,393.99,287.28,Baby Boomer,cultural,generations,JAPANESE,F
19312,"('NORDIC', 'M')",45.86,384.0,270.4,Baby Boomer,cultural,generations,NORDIC,M
14932,"('ITALIAN', 'F')",44.44,403.68,258.51,Baby Boomer,cultural,generations,ITALIAN,F
25882,"('BALTIC', 'F')",44.89,337.93,228.46,Baby Boomer,cultural,generations,BALTIC,F
26612,"('ISRAELI', 'F')",44.97,353.28,235.99,Baby Boomer,cultural,generations,ISRAELI,F
25152,"('HUNGARIAN', 'F')",47.3,387.14,258.77,Baby Boomer,cultural,generations,HUNGARIAN,F
22962,"('TURKISH', 'M')",42.9,383.46,276.53,Baby Boomer,cultural,generations,TURKISH,M
14202,"('ISRAELI', 'M')",45.3,349.19,255.19,Baby Boomer,cultural,generations,ISRAELI,M
1792,"('ARAB', 'M')",44.82,497.47,336.87,Baby Boomer,cultural,generations,ARAB,M
15662,"('ITALIAN', 'M')",41.71,430.23,284.83,Baby Boomer,cultural,generations,ITALIAN,M
6172,"('FRENCH', 'F')",44.96,429.13,280.33,Baby Boomer,cultural,generations,FRENCH,F
1062,"('ARAB', 'F')",46.55,453.71,294.61,Baby Boomer,cultural,generations,ARAB,F
11282,"('HISPANIC', 'M')",45.69,399.44,290.55,Baby Boomer,cultural,generations,HISPANIC,M
5442,"('DUTCH', 'M')",45.03,348.3,248.14,Baby Boomer,cultural,generations,DUTCH,M
24422,"('THAI', 'M')",42.38,323.0,223.72,Baby Boomer,cultural,generations,THAI,M
4712,"('DUTCH', 'F')",48.85,374.03,253.33,Baby Boomer,cultural,generations,DUTCH,F
26025,"('BALTIC', 'F')",31.88,179.39,103.53,Bahá'í,religion,all,BALTIC,F
21645,"('THAI', 'F')",30.65,198.29,118.56,Bahá'í,religion,all,THAI,F
3395,"('CHINESE', 'F')",32.41,185.32,113.28,Bahá'í,religion,all,CHINESE,F
26755,"('ISRAELI', 'F')",33.05,184.47,104.94,Bahá'í,religion,all,ISRAELI,F
27485,"('KOREAN', 'F')",35.61,280.6,168.88,Bahá'í,religion,all,KOREAN,F
7045,"('FRENCH', 'M')",37.49,235.07,151.14,Bahá'í,religion,all,FRENCH,M
1205,"('ARAB', 'F')",27.47,195.08,118.0,Bahá'í,religion,all,ARAB,F
28945,"('ENGLISH', 'M')",36.41,234.21,142.3,Bahá'í,religion,all,ENGLISH,M
17265,"('JAPANESE', 'M')",34.98,331.99,187.77,Bahá'í,religion,all,JAPANESE,M
9235,"('GREEK', 'F')",39.04,270.95,174.94,Bahá'í,religion,all,GREEK,F
15075,"('ITALIAN', 'F')",33.84,247.8,149.72,Bahá'í,religion,all,ITALIAN,F
10695,"('HISPANIC', 'F')",30.67,180.81,109.59,Bahá'í,religion,all,HISPANIC,F
475,"('AFRICAN', 'M')",33.71,252.5,152.52,Bahá'í,religion,all,AFRICAN,M
15805,"('ITALIAN', 'M')",34.67,292.64,181.91,Bahá'í,religion,all,ITALIAN,M
17995,"('KOREAN', 'M')",34.72,233.72,131.0,Bahá'í,religion,all,KOREAN,M
4855,"('DUTCH', 'F')",36.94,220.79,130.43,Bahá'í,religion,all,DUTCH,F
6315,"('FRENCH', 'F')",35.98,278.8,171.54,Bahá'í,religion,all,FRENCH,F
16535,"('JAPANESE', 'F')",33.55,281.33,161.83,Bahá'í,religion,all,JAPANESE,F
28215,"('ENGLISH', 'F')",37.18,233.4,134.64,Bahá'í,religion,all,ENGLISH,F
5585,"('DUTCH', 'M')",36.89,200.84,128.6,Bahá'í,religion,all,DUTCH,M
23835,"('AFRICAN', 'F')",36.85,250.83,158.87,Bahá'í,religion,all,AFRICAN,F
1935,"('ARAB', 'M')",30.37,227.97,141.05,Bahá'í,religion,all,ARAB,M
13615,"('INDIAN', 'M')",38.87,348.62,191.64,Bahá'í,religion,all,INDIAN,M
8505,"('GERMAN', 'M')",34.04,289.67,166.31,Bahá'í,religion,all,GERMAN,M
23105,"('TURKISH', 'M')",30.65,195.36,128.71,Bahá'í,religion,all,TURKISH,M
12885,"('INDIAN', 'F')",38.23,340.0,182.22,Bahá'í,religion,all,INDIAN,F
22375,"('TURKISH', 'F')",30.84,205.36,124.63,Bahá'í,religion,all,TURKISH,F
20185,"('SLAV', 'F')",35.03,234.29,143.03,Bahá'í,religion,all,SLAV,F
24565,"('THAI', 'M')",31.42,165.12,99.72,Bahá'í,religion,all,THAI,M
9965,"('GREEK', 'M')",37.31,254.15,157.13,Bahá'í,religion,all,GREEK,M
20915,"('SLAV', 'M')",36.66,244.42,146.18,Bahá'í,religion,all,SLAV,M
14345,"('ISRAELI', 'M')",34.33,302.38,131.11,Bahá'í,religion,all,ISRAELI,M
19455,"('NORDIC', 'M')",36.45,214.13,120.68,Bahá'í,religion,all,NORDIC,M
25295,"('HUNGARIAN', 'F')",32.4,211.15,127.51,Bahá'í,religion,all,HUNGARIAN,F
4125,"('CHINESE', 'M')",34.07,268.82,161.4,Bahá'í,religion,all,CHINESE,M
11425,"('HISPANIC', 'M')",34.27,250.39,152.73,Bahá'í,religion,all,HISPANIC,M
2665,"('BALTIC', 'M')",33.3,227.69,127.09,Bahá'í,religion,all,BALTIC,M
12155,"('HUNGARIAN', 'M')",33.57,216.34,132.46,Bahá'í,religion,all,HUNGARIAN,M
