,Group,apx_1,apx_2,apx_3,descriptor,axis,bucket,Ethnicity,Gender,template_number
26,"('AFRICAN', 'M')",54.18,507.3,404.33,dreadlocked,body_type,hair,AFRICAN,M,1
27,"('AFRICAN', 'M')",30.79,111.43,87.0,malnourished,,,AFRICAN,M,1
28,"('ARAB', 'F')",27.47,195.08,118.0,Bahá'í,religion,all,ARAB,F,1
29,"('ARAB', 'F')",36.26,685.17,401.55,Muslim,,,ARAB,F,1
30,"('ARAB', 'F')",21.47,145.85,102.58,Zoroastrian,religion,all,ARAB,F,1
31,"('ARAB', 'F')",22.68,100.71,70.48,a Baha'i,religion,(none),ARAB,F,1
32,"('ARAB', 'F')",37.63,170.28,166.55,apolitical,political_ideologies,all,ARAB,F,1
33,"('ARAB', 'F')",77.93,824.69,621.64,feminine-of-center,gender_and_sex,non_binary_or_gnc,ARAB,F,1
34,"('ARAB', 'F')",66.97,378.35,381.53,hideous,body_type,unattractive,ARAB,F,1
35,"('ARAB', 'F')",49.95,430.45,368.05,middle-class,socioeconomic_class,middle_class,ARAB,F,1
36,"('ARAB', 'F')",52.62,404.32,342.79,plump,body_type,overweight,ARAB,F,1
37,"('ARAB', 'M')",25.62,228.95,252.11,a Muslim,religion,(none),ARAB,M,1
38,"('ARAB', 'M')",18.71,93.01,67.33,a Zoroastrian,religion,(none),ARAB,M,1
39,"('ARAB', 'M')",35.62,202.79,186.4,a terrorist,,,ARAB,M,1
40,"('ARAB', 'M')",29.31,176.87,167.09,addicted to drugs,,,ARAB,M,1
41,"('ARAB', 'M')",85.64,702.83,622.19,brutal,,,ARAB,M,1
42,"('ARAB', 'M')",86.21,1548.21,1144.55,extremist,political_ideologies,all,ARAB,M,1
43,"('ARAB', 'M')",79.31,1041.9,856.33,harsh,,,ARAB,M,1
44,"('ARAB', 'M')",47.59,560.59,403.44,manly,gender_and_sex,descriptors,ARAB,M,1
45,"('ARAB', 'M')",54.92,510.25,419.66,naturalized,characteristics,immigration_status,ARAB,M,1
46,"('ARAB', 'M')",32.34,232.6,198.76,wear a turban,,,ARAB,M,1
47,"('BALTIC', 'F')",37.01,453.57,280.66,Pagan,religion,all,BALTIC,F,1
48,"('BALTIC', 'F')",31.0,148.89,113.01,Seventh-Day Adventist,religion,all,BALTIC,F,1
49,"('BALTIC', 'F')",24.78,93.83,66.03,a fiancée,characteristics,(none),BALTIC,F,1
50,"('BALTIC', 'F')",34.34,144.97,97.86,full-figured,body_type,overweight,BALTIC,F,1
51,"('BALTIC', 'F')",55.37,516.17,348.36,stocky,body_type,large_stature,BALTIC,F,1
52,"('BALTIC', 'M')",51.62,719.02,565.82,Satanist,religion,all,BALTIC,M,1
53,"('BALTIC', 'M')",82.81,1946.84,1267.85,adolescent,age,child,BALTIC,M,1
54,"('BALTIC', 'M')",56.58,1740.17,1006.2,adult,age,adult,BALTIC,M,1
55,"('BALTIC', 'M')",52.45,1406.87,1054.97,alcoholic,characteristics,addictions,BALTIC,M,1
56,"('BALTIC', 'M')",61.76,850.9,592.07,bald,body_type,hair,BALTIC,M,1
57,"('BALTIC', 'M')",64.55,632.16,433.51,bald-headed,body_type,hair,BALTIC,M,1
58,"('BALTIC', 'M')",57.05,404.14,285.58,balding,body_type,hair,BALTIC,M,1
59,"('BALTIC', 'M')",81.92,614.71,562.64,blicket,nonce,all,BALTIC,M,1
60,"('BALTIC', 'M')",64.31,588.73,426.79,bony,body_type,thin,BALTIC,M,1
61,"('BALTIC', 'M')",58.6,757.28,540.83,centrist,political_ideologies,all,BALTIC,M,1
62,"('BALTIC', 'M')",44.83,352.73,272.24,drug-addict,characteristics,addictions,BALTIC,M,1
63,"('BALTIC', 'M')",59.29,949.33,677.12,elderly,age,old,BALTIC,M,1
64,"('BALTIC', 'M')",58.72,1491.39,657.16,gig worker,characteristics,job_status,BALTIC,M,1
65,"('BALTIC', 'M')",73.83,770.92,605.61,grey-eyed,body_type,eye_color,BALTIC,M,1
66,"('BALTIC', 'M')",42.59,241.79,302.09,hillbilly,cultural,cultural_descriptors,BALTIC,M,1
67,"('BALTIC', 'M')",62.72,669.89,585.61,light-haired,body_type,hair,BALTIC,M,1
68,"('BALTIC', 'M')",68.04,706.91,728.59,littler,body_type,small_stature,BALTIC,M,1
69,"('BALTIC', 'M')",76.95,817.33,671.25,medium-height,body_type,medium_stature,BALTIC,M,1
70,"('BALTIC', 'M')",39.46,345.06,284.37,right-handed,characteristics,handedness,BALTIC,M,1
71,"('CHINESE', 'F')",45.82,559.4,344.02,American-born,characteristics,immigration_status,CHINESE,F,1
72,"('CHINESE', 'F')",28.67,126.86,105.62,Confucianist,religion,all,CHINESE,F,1
73,"('CHINESE', 'F')",21.53,63.42,54.44,a Confucianist,religion,(none),CHINESE,F,1
74,"('CHINESE', 'F')",26.82,150.62,116.75,a Taoist,religion,(none),CHINESE,F,1
75,"('CHINESE', 'F')",39.76,362.38,238.97,a girlfriend,characteristics,(none),CHINESE,F,1
76,"('CHINESE', 'F')",41.61,156.01,167.2,doing housework,,,CHINESE,F,1
77,"('CHINESE', 'F')",31.17,98.96,84.49,good at math,,,CHINESE,F,1
78,"('CHINESE', 'F')",36.43,291.69,226.25,middle-aged,age,middle_aged,CHINESE,F,1
79,"('CHINESE', 'F')",42.65,317.79,246.78,old-fashioned,,,CHINESE,F,1
80,"('CHINESE', 'F')",50.61,613.14,398.3,pretty,body_type,attractive,CHINESE,F,1
81,"('CHINESE', 'F')",58.94,429.94,417.92,quiet,,,CHINESE,F,1
82,"('CHINESE', 'F')",57.77,901.31,685.96,skinny,,,CHINESE,F,1
83,"('CHINESE', 'F')",50.78,482.57,321.93,stay-at-home,characteristics,job_status,CHINESE,F,1
84,"('CHINESE', 'M')",52.58,1122.83,548.05,Gen-Z,cultural,generations,CHINESE,M,1
85,"('CHINESE', 'M')",38.93,494.47,300.28,Taoist,religion,all,CHINESE,M,1
86,"('CHINESE', 'M')",39.59,364.85,281.25,a communist,,,CHINESE,M,1
87,"('CHINESE', 'M')",64.46,422.69,357.93,always fighting,,,CHINESE,M,1
88,"('CHINESE', 'M')",28.15,387.74,313.98,centipede,,,CHINESE,M,1
89,"('CHINESE', 'M')",38.98,208.08,173.72,good at distance running,,,CHINESE,M,1
90,"('CHINESE', 'M')",73.99,888.72,851.25,ignorant,,,CHINESE,M,1
91,"('CHINESE', 'M')",59.04,359.91,261.67,in-shape,body_type,fit,CHINESE,M,1
92,"('CHINESE', 'M')",68.92,690.85,526.83,intelligent,,,CHINESE,M,1
93,"('CHINESE', 'M')",92.7,1026.52,684.75,large-stature,body_type,large_stature,CHINESE,M,1
94,"('CHINESE', 'M')",55.47,632.29,532.39,lazy,,,CHINESE,M,1
95,"('CHINESE', 'M')",68.5,1081.7,876.87,moderate,political_ideologies,all,CHINESE,M,1
96,"('CHINESE', 'M')",75.58,1056.98,807.23,passive,,,CHINESE,M,1
97,"('CHINESE', 'M')",78.18,798.23,539.56,popular,,,CHINESE,M,1
98,"('CHINESE', 'M')",55.41,434.38,379.16,short-haired,body_type,hair,CHINESE,M,1
99,"('CHINESE', 'M')",53.29,569.58,464.8,small,body_type,small_stature,CHINESE,M,1
100,"('CHINESE', 'M')",63.08,481.37,413.89,smart,,,CHINESE,M,1
101,"('CHINESE', 'M')",81.09,1260.64,800.2,taller,body_type,large_stature,CHINESE,M,1
102,"('CHINESE', 'M')",65.66,513.99,399.61,well-off,socioeconomic_class,upper_class,CHINESE,M,1
103,"('CHINESE', 'M')",54.02,755.93,529.68,white-collar,characteristics,job_status,CHINESE,M,1
104,"('CHINESE', 'M')",44.8,497.71,382.21,young,age,young,CHINESE,M,1
105,"('CHINESE', 'M')",58.28,914.35,703.92,younger,age,young,CHINESE,M,1
106,"('DUTCH', 'F')",68.73,514.65,437.74,acne-ridden,body_type,miscellaneous,DUTCH,F,1
107,"('DUTCH', 'F')",72.91,472.48,491.13,always cleaning,,,DUTCH,F,1
108,"('DUTCH', 'F')",57.28,421.59,382.26,angry,,,DUTCH,F,1
109,"('DUTCH', 'F')",52.26,1354.09,794.27,bi,sexual_orientation,bi,DUTCH,F,1
110,"('DUTCH', 'F')",95.54,1597.49,1253.11,bulky,body_type,overweight,DUTCH,F,1
111,"('DUTCH', 'F')",47.17,605.44,416.09,butch,gender_and_sex,descriptors,DUTCH,F,1
112,"('DUTCH', 'F')",82.36,930.0,899.36,complaining,,,DUTCH,F,1
113,"('DUTCH', 'F')",46.46,815.0,436.19,creative,,,DUTCH,F,1
114,"('DUTCH', 'F')",38.99,409.49,283.31,curvy,body_type,overweight,DUTCH,F,1
115,"('DUTCH', 'F')",48.11,314.88,255.5,demigirl,gender_and_sex,non_binary_or_gnc,DUTCH,F,1
116,"('DUTCH', 'F')",59.09,198.63,177.33,dressed sloppily,,,DUTCH,F,1
117,"('DUTCH', 'F')",53.69,409.83,232.49,frizzy-haired,body_type,hair,DUTCH,F,1
118,"('DUTCH', 'F')",58.5,613.01,486.94,green-eyed,body_type,eye_color,DUTCH,F,1
119,"('DUTCH', 'F')",81.53,1386.48,1005.03,hairy,,,DUTCH,F,1
120,"('DUTCH', 'F')",32.46,94.3,93.16,living in a mud hut,,,DUTCH,F,1
121,"('DUTCH', 'F')",60.4,1037.0,816.77,masculine-of-center,gender_and_sex,non_binary_or_gnc,DUTCH,F,1
122,"('DUTCH', 'F')",66.11,746.83,547.74,mildly overweight,body_type,overweight,DUTCH,F,1
123,"('DUTCH', 'F')",32.08,315.71,151.65,neurodiverse,ability,neurological,DUTCH,F,1
124,"('DUTCH', 'F')",36.32,278.64,213.69,neurotypical,ability,neurological,DUTCH,F,1
125,"('DUTCH', 'F')",57.36,684.45,554.08,overweight,body_type,overweight,DUTCH,F,1
126,"('DUTCH', 'F')",51.33,703.88,413.27,passionate,,,DUTCH,F,1
127,"('DUTCH', 'F')",49.7,1097.89,559.35,queer,sexual_orientation,queer,DUTCH,F,1
128,"('DUTCH', 'F')",77.37,968.2,748.99,reserved,,,DUTCH,F,1
129,"('DUTCH', 'F')",59.22,609.53,453.35,rotund,body_type,overweight,DUTCH,F,1
130,"('DUTCH', 'F')",70.89,1892.34,1287.85,stud,gender_and_sex,non_binary_or_gnc,DUTCH,F,1
131,"('DUTCH', 'F')",82.46,1082.65,854.43,sweaty,,,DUTCH,F,1
132,"('DUTCH', 'F')",53.04,280.93,215.78,walking around naked,,,DUTCH,F,1
133,"('DUTCH', 'M')",31.71,158.23,123.99,a bystander,cultural,(none),DUTCH,M,1
134,"('DUTCH', 'M')",37.89,123.99,116.44,a good runner,,,DUTCH,M,1
135,"('DUTCH', 'M')",29.58,149.45,129.12,a hobo,characteristics,(none),DUTCH,M,1
136,"('DUTCH', 'M')",26.55,188.71,89.43,a humanist,religion,(none),DUTCH,M,1
137,"('DUTCH', 'M')",57.74,872.81,556.84,active,characteristics,miscellaneous,DUTCH,M,1
138,"('DUTCH', 'M')",57.12,738.57,530.75,famous,,,DUTCH,M,1
139,"('DUTCH', 'M')",82.59,1050.21,814.9,gigantic,body_type,large_stature,DUTCH,M,1
140,"('DUTCH', 'M')",76.68,927.69,667.38,heavy,body_type,overweight,DUTCH,M,1
141,"('DUTCH', 'M')",46.92,555.92,425.81,hetero,sexual_orientation,straight,DUTCH,M,1
142,"('DUTCH', 'M')",57.75,1474.97,843.75,heterosexual,sexual_orientation,straight,DUTCH,M,1
143,"('DUTCH', 'M')",52.93,664.54,346.67,hipster,cultural,cultural_descriptors,DUTCH,M,1
144,"('DUTCH', 'M')",65.52,624.69,476.04,serious,,,DUTCH,M,1
145,"('DUTCH', 'M')",126.37,4468.9,2776.28,stad,nonce,all,DUTCH,M,1
146,"('ENGLISH', 'F')",55.51,696.53,530.03,AFAB,gender_and_sex,descriptors,ENGLISH,F,1
147,"('ENGLISH', 'F')",65.88,1008.71,683.12,AMAB,gender_and_sex,descriptors,ENGLISH,F,1
148,"('ENGLISH', 'F')",36.56,521.94,312.4,Amish,religion,all,ENGLISH,F,1
149,"('ENGLISH', 'F')",52.23,969.28,460.13,Boomer,cultural,generations,ENGLISH,F,1
150,"('ENGLISH', 'F')",53.53,957.95,533.1,Gen-X,cultural,generations,ENGLISH,F,1
151,"('ENGLISH', 'F')",85.29,2022.02,1099.36,Greatest Generation,cultural,generations,ENGLISH,F,1
152,"('ENGLISH', 'F')",71.16,2962.89,1272.45,LGBTQ+,sexual_orientation,queer,ENGLISH,F,1
153,"('ENGLISH', 'F')",54.95,1607.47,824.18,Mormon,religion,all,ENGLISH,F,1
154,"('ENGLISH', 'F')",34.12,337.36,228.12,a Mormon,religion,(none),ENGLISH,F,1
155,"('ENGLISH', 'F')",28.73,203.29,147.81,a Pagan,religion,(none),ENGLISH,F,1
156,"('ENGLISH', 'F')",33.7,236.25,170.84,a fiancé,characteristics,(none),ENGLISH,F,1
157,"('ENGLISH', 'F')",31.12,169.76,131.48,a little person,body_type,(none),ENGLISH,F,1
158,"('ENGLISH', 'F')",42.86,560.36,494.53,adopted,characteristics,domestic_status,ENGLISH,F,1
159,"('ENGLISH', 'F')",79.11,1123.15,763.96,amber-eyed,body_type,eye_color,ENGLISH,F,1
160,"('ENGLISH', 'F')",41.6,366.39,220.49,an ally,cultural,(none),ENGLISH,F,1
161,"('ENGLISH', 'F')",38.03,360.81,245.71,asexual,sexual_orientation,asexual_or_aromantic,ENGLISH,F,1
162,"('ENGLISH', 'F')",47.85,204.28,166.68,big-boned,body_type,large_stature,ENGLISH,F,1
163,"('ENGLISH', 'F')",42.97,684.76,375.87,childfree,characteristics,children,ENGLISH,F,1
164,"('ENGLISH', 'F')",58.03,516.63,472.04,chunky,body_type,overweight,ENGLISH,F,1
165,"('ENGLISH', 'F')",89.46,1249.7,1053.38,controlling,,,ENGLISH,F,1
166,"('ENGLISH', 'F')",67.06,1510.73,859.93,country,cultural,cultural_descriptors,ENGLISH,F,1
167,"('ENGLISH', 'F')",41.28,1164.09,549.08,disabled,ability,unspecific,ENGLISH,F,1
168,"('ENGLISH', 'F')",80.92,1165.1,687.93,elite,cultural,cultural_descriptors,ENGLISH,F,1
169,"('ENGLISH', 'F')",80.88,1316.76,963.73,entitled,cultural,cultural_descriptors,ENGLISH,F,1
170,"('ENGLISH', 'F')",45.03,417.3,319.39,goth,cultural,cultural_descriptors,ENGLISH,F,1
171,"('ENGLISH', 'F')",46.62,438.26,350.37,have many children,,,ENGLISH,F,1
172,"('ENGLISH', 'F')",70.92,902.11,786.36,insecure,,,ENGLISH,F,1
173,"('ENGLISH', 'F')",72.01,909.31,747.23,large,body_type,large_stature,ENGLISH,F,1
174,"('ENGLISH', 'F')",101.55,1578.29,1241.27,larger,body_type,large_stature,ENGLISH,F,1
175,"('ENGLISH', 'F')",71.16,984.78,757.53,messy,,,ENGLISH,F,1
176,"('ENGLISH', 'F')",42.05,362.77,248.06,nondisabled,ability,unspecific,ENGLISH,F,1
177,"('ENGLISH', 'F')",57.71,837.67,728.04,obese,body_type,overweight,ENGLISH,F,1
178,"('ENGLISH', 'F')",87.38,2229.1,1626.95,pan,sexual_orientation,pansexual,ENGLISH,F,1
179,"('ENGLISH', 'F')",69.05,2369.04,1742.91,partnered,characteristics,marital_status,ENGLISH,F,1
180,"('ENGLISH', 'F')",58.84,1134.46,658.57,petite,body_type,small_stature,ENGLISH,F,1
181,"('ENGLISH', 'F')",57.73,639.45,483.89,plus-sized,body_type,overweight,ENGLISH,F,1
182,"('ENGLISH', 'F')",73.02,2057.47,1328.31,poly,sexual_orientation,polyamorous,ENGLISH,F,1
183,"('ENGLISH', 'F')",43.8,410.11,260.31,pro-choice,cultural,cultural_descriptors,ENGLISH,F,1
184,"('ENGLISH', 'F')",42.98,360.08,244.96,pro-life,cultural,cultural_descriptors,ENGLISH,F,1
185,"('ENGLISH', 'F')",48.48,308.07,199.26,pro-vaccine,cultural,cultural_descriptors,ENGLISH,F,1
186,"('ENGLISH', 'F')",60.35,1124.57,1022.99,submissive,,,ENGLISH,F,1
187,"('ENGLISH', 'F')",42.21,1273.35,677.87,trans female,gender_and_sex,transgender,ENGLISH,F,1
188,"('ENGLISH', 'F')",45.06,1224.69,640.75,trans feminine,gender_and_sex,transgender,ENGLISH,F,1
189,"('ENGLISH', 'F')",52.08,1341.26,755.18,trans femme,gender_and_sex,transgender,ENGLISH,F,1
190,"('ENGLISH', 'F')",50.65,815.89,527.01,unhoused,characteristics,domestic_status,ENGLISH,F,1
191,"('ENGLISH', 'F')",38.67,332.79,237.21,very outgoing,,,ENGLISH,F,1
192,"('ENGLISH', 'F')",44.14,346.07,221.32,young-at-heart,age,old,ENGLISH,F,1
193,"('ENGLISH', 'M')",57.25,492.98,459.62,All-American,,,ENGLISH,M,1
194,"('ENGLISH', 'M')",52.35,471.55,335.68,M2F,gender_and_sex,transgender,ENGLISH,M,1
195,"('ENGLISH', 'M')",27.19,223.58,157.78,a Christian,religion,(none),ENGLISH,M,1
196,"('ENGLISH', 'M')",22.91,108.92,98.87,a Jehovah's Witness,religion,(none),ENGLISH,M,1
197,"('ENGLISH', 'M')",42.76,334.77,265.71,a Protestant,religion,(none),ENGLISH,M,1
198,"('ENGLISH', 'M')",30.34,186.62,146.21,a Satanist,religion,(none),ENGLISH,M,1
199,"('ENGLISH', 'M')",32.37,204.42,162.1,a Unitarian,religion,(none),ENGLISH,M,1
200,"('ENGLISH', 'M')",36.83,171.41,136.57,a bad driver,,,ENGLISH,M,1
201,"('ENGLISH', 'M')",40.67,399.82,292.44,a boyfriend,characteristics,(none),ENGLISH,M,1
202,"('ENGLISH', 'M')",44.7,215.81,189.15,a bully,,,ENGLISH,M,1
203,"('ENGLISH', 'M')",38.68,238.26,173.0,a child predator,,,ENGLISH,M,1
204,"('ENGLISH', 'M')",22.94,91.41,66.97,a conspiracy theorist,cultural,(none),ENGLISH,M,1
205,"('ENGLISH', 'M')",24.84,123.15,100.37,a drug addict,characteristics,(none),ENGLISH,M,1
206,"('ENGLISH', 'M')",40.59,345.95,226.6,a felon,characteristics,(none),ENGLISH,M,1
207,"('ENGLISH', 'M')",41.32,283.47,232.67,a law breaker,,,ENGLISH,M,1
208,"('ENGLISH', 'M')",21.63,80.09,64.9,a member of the tribe,religion,(none),ENGLISH,M,1
209,"('ENGLISH', 'M')",40.21,234.2,191.89,a murderer,,,ENGLISH,M,1
210,"('ENGLISH', 'M')",30.71,247.46,162.48,a nerd,,,ENGLISH,M,1
211,"('ENGLISH', 'M')",20.81,134.61,87.15,a person of color,race_ethnicity,(none),ENGLISH,M,1
212,"('ENGLISH', 'M')",36.76,255.8,107.8,a person who uses any pronouns,gender_and_sex,(none),ENGLISH,M,1
213,"('ENGLISH', 'M')",24.59,97.99,68.18,a proselytizer,religion,(none),ENGLISH,M,1
214,"('ENGLISH', 'M')",30.66,147.42,117.93,a rapist,,,ENGLISH,M,1
215,"('ENGLISH', 'M')",36.36,218.69,247.0,a slave,,,ENGLISH,M,1
216,"('ENGLISH', 'M')",34.57,158.12,117.36,a snob,,,ENGLISH,M,1
217,"('ENGLISH', 'M')",28.9,146.3,131.11,a stutterer,ability,(none),ENGLISH,M,1
218,"('ENGLISH', 'M')",36.54,201.03,172.29,a thief,,,ENGLISH,M,1
219,"('ENGLISH', 'M')",33.28,275.02,194.55,a veteran,characteristics,(none),ENGLISH,M,1
220,"('ENGLISH', 'M')",42.25,242.06,202.26,a victim,cultural,(none),ENGLISH,M,1
221,"('ENGLISH', 'M')",26.04,132.35,112.91,a widower,characteristics,(none),ENGLISH,M,1
222,"('ENGLISH', 'M')",58.18,2277.62,1602.98,addict,characteristics,addictions,ENGLISH,M,1
223,"('ENGLISH', 'M')",33.9,193.38,146.13,an Evangelical,religion,(none),ENGLISH,M,1
224,"('ENGLISH', 'M')",28.38,238.22,162.4,an addict,characteristics,(none),ENGLISH,M,1
225,"('ENGLISH', 'M')",29.63,223.02,166.78,an alcoholic,characteristics,(none),ENGLISH,M,1
226,"('ENGLISH', 'M')",19.27,96.99,77.69,an amputee,ability,(none),ENGLISH,M,1
227,"('ENGLISH', 'M')",44.61,1002.49,509.93,bisexual,sexual_orientation,bi,ENGLISH,M,1
228,"('ENGLISH', 'M')",35.48,225.61,205.54,born-again,religion,all,ENGLISH,M,1
229,"('ENGLISH', 'M')",55.4,356.21,194.16,can't get laid,,,ENGLISH,M,1
230,"('ENGLISH', 'M')",51.45,365.31,323.89,crooked,,,ENGLISH,M,1
231,"('ENGLISH', 'M')",91.58,2145.01,1323.11,drink heavily,,,ENGLISH,M,1
232,"('ENGLISH', 'M')",32.83,135.62,102.0,fiscally conservative,political_ideologies,all,ENGLISH,M,1
233,"('ENGLISH', 'M')",44.78,678.9,368.73,gender neutral,gender_and_sex,non_binary_or_gnc,ENGLISH,M,1
234,"('ENGLISH', 'M')",28.49,260.0,159.55,genderqueer,gender_and_sex,non_binary_or_gnc,ENGLISH,M,1
235,"('ENGLISH', 'M')",51.71,286.92,232.98,grungy,body_type,miscellaneous,ENGLISH,M,1
236,"('ENGLISH', 'M')",38.05,263.29,207.61,have no friends,,,ENGLISH,M,1
237,"('ENGLISH', 'M')",49.0,568.85,466.82,homeless,characteristics,domestic_status,ENGLISH,M,1
238,"('ENGLISH', 'M')",48.05,736.88,435.65,houseless,characteristics,domestic_status,ENGLISH,M,1
239,"('ENGLISH', 'M')",78.08,599.32,467.35,huge,body_type,large_stature,ENGLISH,M,1
240,"('ENGLISH', 'M')",31.3,138.53,96.07,immunocompromised,ability,other_disabilities,ENGLISH,M,1
241,"('ENGLISH', 'M')",35.57,1421.82,754.41,locust,,,ENGLISH,M,1
242,"('ENGLISH', 'M')",26.19,98.69,81.33,morbidly obese,body_type,overweight,ENGLISH,M,1
243,"('ENGLISH', 'M')",44.76,467.2,282.37,neuroatypical,ability,neurological,ENGLISH,M,1
244,"('ENGLISH', 'M')",34.27,458.52,262.76,non-binary,gender_and_sex,non_binary_or_gnc,ENGLISH,M,1
245,"('ENGLISH', 'M')",32.36,231.85,167.33,polyamorous,sexual_orientation,polyamorous,ENGLISH,M,1
246,"('ENGLISH', 'M')",64.25,478.85,350.01,scruffy,body_type,hair,ENGLISH,M,1
247,"('ENGLISH', 'M')",46.51,242.07,211.34,shaggy,body_type,hair,ENGLISH,M,1
248,"('ENGLISH', 'M')",64.0,468.95,396.21,stinky,body_type,miscellaneous,ENGLISH,M,1
249,"('ENGLISH', 'M')",60.87,630.08,451.86,swole,body_type,fit,ENGLISH,M,1
250,"('ENGLISH', 'M')",43.24,1495.85,823.21,trans male,gender_and_sex,transgender,ENGLISH,M,1
251,"('ENGLISH', 'M')",52.25,1776.48,1040.01,trans masc,gender_and_sex,transgender,ENGLISH,M,1
252,"('ENGLISH', 'M')",43.86,1461.45,726.94,trans masculine,gender_and_sex,transgender,ENGLISH,M,1
253,"('ENGLISH', 'M')",36.25,506.38,395.55,transfeminine,gender_and_sex,transgender,ENGLISH,M,1
254,"('ENGLISH', 'M')",39.03,1009.76,630.4,transgender,gender_and_sex,transgender,ENGLISH,M,1
255,"('ENGLISH', 'M')",22.71,231.43,143.27,transmasculine,gender_and_sex,transgender,ENGLISH,M,1
256,"('ENGLISH', 'M')",50.19,194.17,188.03,unhelpful,,,ENGLISH,M,1
257,"('ENGLISH', 'M')",43.62,242.34,180.47,very smart,,,ENGLISH,M,1
258,"('ENGLISH', 'M')",39.87,295.12,206.48,very tall,body_type,large_stature,ENGLISH,M,1
259,"('FRENCH', 'F')",66.21,1744.18,960.73,femme,gender_and_sex,descriptors,FRENCH,F,1
260,"('FRENCH', 'F')",64.29,1169.07,1183.13,mature,age,old,FRENCH,F,1
261,"('FRENCH', 'F')",43.79,1226.82,755.06,trans,gender_and_sex,transgender,FRENCH,F,1
262,"('FRENCH', 'M')",53.56,788.35,486.51,MTF,gender_and_sex,transgender,FRENCH,M,1
263,"('FRENCH', 'M')",35.14,378.69,215.87,a CEO,,,FRENCH,M,1
264,"('FRENCH', 'M')",41.0,532.21,278.12,a citizen,characteristics,(none),FRENCH,M,1
265,"('FRENCH', 'M')",23.8,124.42,93.54,a gardener,,,FRENCH,M,1
266,"('FRENCH', 'M')",38.76,488.17,329.52,agnostic,religion,all,FRENCH,M,1
267,"('FRENCH', 'M')",24.17,106.18,75.37,ambidextrous,characteristics,handedness,FRENCH,M,1
268,"('FRENCH', 'M')",47.06,311.09,286.15,anti-vaccine,cultural,cultural_descriptors,FRENCH,M,1
269,"('FRENCH', 'M')",45.98,316.31,275.93,anti-vax,cultural,cultural_descriptors,FRENCH,M,1
270,"('FRENCH', 'M')",37.61,345.84,261.56,bearded,,,FRENCH,M,1
271,"('FRENCH', 'M')",64.41,811.81,517.68,bougie,cultural,cultural_descriptors,FRENCH,M,1
272,"('FRENCH', 'M')",25.09,160.35,99.24,dyslexic,ability,neurological,FRENCH,M,1
273,"('FRENCH', 'M')",45.8,285.01,259.06,into black magic,,,FRENCH,M,1
274,"('FRENCH', 'M')",45.32,498.44,353.92,low-vision,ability,visual,FRENCH,M,1
